no,scientific name,abbreviation,syllable duration,peak frequency,oscillation rate
1,Rhinella marina,CTD,500,680,12
2,Cyclorana novaehollandiae,CNE,350,600,NA
3,Limnodyanstes terraereginae,LTE,80,630,NA
4,Litoria fallax,LFX,120,4100,50
5,Litoria nasuta,LNA,100,2700,NA
6,Litoria rothii,LRI,350,1150,15
7,Litoria rubella,LUA,500,2400,NA
8,Uperolela mimula,UMA,120,2400,40
